2017-10-13 17:31:49,126 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgelabz3/ajit/projects/Eclipse Workspace/Spring/ToDo/src/test/resources
2017-10-13 17:32:50,198 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:32:50,199 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-13 17:32:50,199 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:32:50,200 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgelabz3/ajit/projects/Eclipse Workspace/Spring/ToDo/src/test/resources
2017-10-13 17:32:55,490 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:32:55,491 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-13 17:32:55,504 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:32:55,504 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgelabz3/ajit/projects/Eclipse Workspace/Spring/ToDo/src/test/resources
2017-10-13 17:33:05,061 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:33:05,061 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-13 17:33:05,062 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:33:05,062 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgelabz3/ajit/projects/Eclipse Workspace/Spring/ToDo/src/test/resources
2017-10-13 17:33:14,493 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:33:14,494 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-13 17:33:14,494 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-13 17:33:14,494 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgelabz3/ajit/projects/Eclipse Workspace/Spring/ToDo/src/test/resources
